PMT_SITE,window,year,treated,p_treated,cluster_kmeans,cluster_gmm,anomaly_if,anomaly_lof,unsup_risk
1505059FUG14SP,0,2020,1,0.9688,1,0,0.3994,1.0259,0.7127
1505059FUG14SP,1,2021,1,0.7781,1,0,0.3698,1.0183,0.6941
1505059FUG1FP,0,2021,0,0.1042,0,0,0.4406,0.9790,0.7098
1505059FUG1SP,0,2020,1,1.0000,1,0,0.3822,1.0198,0.7010
1505059FUG2FP,0,2020,1,0.8076,0,1,0.4423,0.9782,0.7103
1505059FUG2FP,1,2021,0,0.0833,0,0,0.4338,0.9674,0.7006
1505059FUG3FP,0,2021,0,0.2000,0,0,0.4365,0.9717,0.7041
1505059FUG6SP,0,2020,1,1.0000,1,0,0.3837,1.0274,0.7055
1505059FUG7SP,0,2020,1,0.9722,1,0,0.3757,1.0019,0.6888
1505059FUG8SP,0,2020,1,1.0000,0,1,0.5297,2.3732,1.4515
1505059FUG8SP,1,2021,0,0.2807,1,0,0.4150,1.2679,0.8415
1505059FUG9SP,0,2020,1,1.0000,1,0,0.3871,1.0441,0.7156
1505059FUGIT2FP,0,2020,0,0.1042,0,1,0.4814,1.1845,0.8329
1505059FUGIT3FP,1,2020,1,0.7465,0,0,0.4627,1.0004,0.7315
1505059FUGIT6SP,0,2021,1,0.9201,1,0,0.4080,1.3105,0.8593
1505059FUGIT7SP,0,2021,1,0.9265,1,0,0.4000,1.1954,0.7977
1505059FUGIT8SP,0,2021,1,0.8076,1,0,0.4219,1.3442,0.8830
1505059FUGIT9SP,0,2021,1,0.8076,1,0,0.4208,1.2885,0.8546
1505059FUGT10SP,0,2021,1,0.7012,1,0,0.3942,1.1222,0.7582
1505059FUGT11SP,0,2021,1,0.8681,1,0,0.4056,1.1918,0.7987
1505059FUGT12,0,2021,0,0.0000,0,0,0.4458,1.0221,0.7340
1505059FUGT13,0,2021,0,0.0000,0,0,0.4344,0.9849,0.7097
1505059IZNFP,0,2021,0,0.2000,0,0,0.4335,1.0020,0.7178
1505059IZQNFP,1,2020,1,0.7718,0,0,0.4571,0.9728,0.7150
1505059IZQSFP,0,2019,0,0.2000,0,1,0.6295,1.8675,1.2485
1505059IZQSFP,1,2020,1,0.7257,0,0,0.4682,1.0200,0.7441
1505059IZSFP,0,2021,0,0.0000,0,0,0.4629,1.0903,0.7766
1505059JAMESP,0,2020,1,0.8076,0,1,0.4349,1.3277,0.8813
1505059JAMESP,1,2021,0,0.1930,0,0,0.4550,1.3057,0.8804
1505059JENSEN,1,2021,1,0.9410,1,0,0.3755,1.0506,0.7131
1505059KIMSP,0,2020,1,0.9688,0,0,0.3976,1.0344,0.7160
1505059KIMSP,1,2021,1,0.9410,1,0,0.4032,1.0590,0.7311
1505059MRCH12SP,0,2020,1,0.8354,1,0,0.3786,1.0308,0.7047
1505059NSABOSP,0,2020,1,0.9479,1,0,0.3935,1.0220,0.7077
1505059PALA2FP,0,2021,0,0.0000,0,0,0.4370,0.9775,0.7073
1505059PALA3FP,1,2021,0,0.0000,0,0,0.4416,0.9775,0.7096
1505059PALA4FP,1,2021,0,0.0000,0,0,0.4334,0.9717,0.7025
1505059PALLA4FP,0,2020,1,0.9201,1,1,0.5653,1.9829,1.2741
1505059PALLA5SP,0,2021,0,0.1667,1,0,0.4154,1.3043,0.8599
1505059PALLA6SP,0,2021,0,0.2000,1,0,0.4225,1.3370,0.8798
1505059PALLAFP,0,2020,1,0.8076,0,1,0.4546,0.9745,0.7146
1505059PALLAFP,1,2021,0,0.0833,0,0,0.4494,1.0204,0.7349
1505059PET1SP,0,2020,0,0.0000,0,1,0.5825,1.9844,1.2835
1505059PET1SP,1,2021,1,0.9211,0,0,0.4342,1.1596,0.7969
1505059PET2SP,0,2020,1,0.9479,1,0,0.3707,1.0089,0.6898
1505059PET3SP,0,2020,1,0.9722,1,0,0.3606,0.9882,0.6744
1505059PET4SP,0,2020,1,0.9465,1,0,0.3752,1.0353,0.7052
1505059PET4SP,1,2021,1,0.9479,1,0,0.4024,1.2337,0.8180
1505059PET5SP,0,2020,1,0.8988,1,0,0.3714,0.9806,0.6760
1505059PET5SP,1,2021,1,0.7903,1,0,0.3880,1.0852,0.7366
1505059PETR3FP,0,2021,0,0.2000,0,0,0.5365,1.2350,0.8858
1505059PETSSP,1,2021,1,0.9410,1,0,0.3626,0.9845,0.6735
1505059RICHRDSP,0,2020,1,0.9029,1,0,0.3677,0.9936,0.6806
1505059RICHRDSP,1,2021,1,0.8710,1,0,0.3875,1.1256,0.7566
1505059RUDDFP,0,2020,0,0.1930,0,1,0.5260,1.2574,0.8917
1505059SACCOSP,0,2020,1,0.9950,1,0,0.3670,0.9757,0.6713
1505059SACCOSP,1,2021,1,0.9201,1,0,0.3593,0.9774,0.6684
1505059SANTFNSP,0,2020,1,1.0000,1,0,0.4163,1.0919,0.7541
1505059SANTFNSP,1,2021,1,0.8417,0,1,0.4555,1.3975,0.9265
1505059SANTFSSP,0,2020,1,1.0000,1,0,0.4170,1.1327,0.7748
